# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
 162000      1.17e+00    1.29e+00      7.61e-03    1.16e-01      8.40e-02    8.44e-02    1.9e-04
 163000      9.90e-01    8.47e-01      8.29e-03    5.39e-03      7.09e-02    6.07e-02    1.9e-04
 164000      7.08e-01    9.32e-01      2.46e-02    1.49e-02      5.02e-02    6.67e-02    1.9e-04
 165000      1.27e+00    9.53e-01      1.55e-02    2.43e-03      9.12e-02    6.83e-02    1.9e-04
 166000      8.51e-01    7.74e-01      7.23e-03    1.30e-02      6.25e-02    5.67e-02    1.8e-04
 167000      9.05e-01    6.43e-01      2.30e-02    6.39e-03      6.61e-02    4.72e-02    1.8e-04
 168000      6.91e-01    9.47e-01      2.20e-03    3.32e-03      5.08e-02    6.96e-02    1.8e-04
 169000      1.24e+00    1.02e+00      9.54e-03    5.17e-03      9.14e-02    7.50e-02    1.8e-04
 170000      9.10e-01    8.79e-01      4.76e-03    6.14e-03      6.69e-02    6.46e-02    1.8e-04
 171000      7.55e-01    6.51e-01      1.68e-02    2.08e-02      5.66e-02    4.84e-02    1.7e-04
 172000      9.81e-01    7.15e-01      6.61e-03    6.73e-02      7.40e-02    5.00e-02    1.7e-04
 173000      1.03e+00    1.11e+00      2.77e-02    3.32e-02      7.72e-02    8.23e-02    1.7e-04
 174000      1.11e+00    7.85e-01      1.73e-02    1.54e-03      8.35e-02    5.92e-02    1.7e-04
 175000      1.16e+00    1.18e+00      2.67e-03    1.64e-02      8.73e-02    8.91e-02    1.7e-04
 176000      9.82e-01    9.46e-01      2.54e-02    1.04e-02      7.54e-02    7.31e-02    1.7e-04
 177000      8.19e-01    8.62e-01      1.50e-02    7.15e-03      6.31e-02    6.66e-02    1.7e-04
 178000      8.46e-01    8.68e-01      2.05e-02    1.03e-02      6.50e-02    6.70e-02    1.7e-04
 179000      1.09e+00    6.85e-01      9.55e-03    2.81e-02      8.41e-02    5.18e-02    1.7e-04
 180000      8.57e-01    1.07e+00      2.41e-02    1.72e-02      6.57e-02    8.29e-02    1.7e-04
 181000      1.12e+00    8.46e-01      1.94e-02    2.10e-02      8.82e-02    6.67e-02    1.6e-04
 182000      6.89e-01    8.64e-01      6.64e-03    5.16e-03      5.46e-02    6.85e-02    1.6e-04
 183000      7.14e-01    7.29e-01      5.21e-03    2.63e-03      5.67e-02    5.78e-02    1.6e-04
 184000      8.54e-01    9.63e-01      2.62e-02    5.56e-05      6.70e-02    7.64e-02    1.6e-04
 185000      1.00e+00    1.06e+00      5.03e-03    2.08e-02      7.98e-02    8.40e-02    1.6e-04
 186000      9.97e-01    7.09e-01      1.45e-03    3.93e-02      8.12e-02    5.61e-02    1.5e-04
 187000      9.31e-01    7.94e-01      3.60e-02    2.71e-02      7.44e-02    6.36e-02    1.5e-04
 188000      7.19e-01    7.21e-01      1.27e-02    5.63e-02      5.83e-02    5.58e-02    1.5e-04
 189000      6.83e-01    7.64e-01      2.63e-02    8.79e-03      5.49e-02    6.21e-02    1.5e-04
 190000      7.81e-01    9.13e-01      9.79e-03    9.02e-03      6.35e-02    7.43e-02    1.5e-04
 191000      6.40e-01    6.84e-01      3.94e-02    3.22e-03      5.15e-02    5.71e-02    1.4e-04
 192000      9.73e-01    7.78e-01      3.71e-02    4.85e-02      7.98e-02    6.29e-02    1.4e-04
 193000      9.26e-01    6.46e-01      9.88e-02    1.59e-03      6.67e-02    5.39e-02    1.4e-04
 194000      1.02e+00    7.82e-01      2.32e-03    1.98e-02      8.52e-02    6.49e-02    1.4e-04
 195000      8.70e-01    9.24e-01      1.14e-02    4.39e-03      7.25e-02    7.72e-02    1.4e-04
 196000      1.09e+00    7.06e-01      1.25e-02    3.70e-03      9.35e-02    6.05e-02    1.4e-04
 197000      8.18e-01    6.54e-01      3.60e-03    2.38e-02      7.01e-02    5.53e-02    1.4e-04
 198000      8.75e-01    6.73e-01      1.96e-03    1.77e-02      7.50e-02    5.71e-02    1.4e-04
 199000      7.55e-01    7.85e-01      1.38e-02    8.74e-03      6.44e-02    6.72e-02    1.4e-04
 200000      8.42e-01    6.30e-01      8.59e-03    2.98e-02      7.20e-02    5.28e-02    1.4e-04
 201000      5.65e-01    6.39e-01      4.92e-02    5.86e-03      4.64e-02    5.61e-02    1.3e-04
 202000      8.20e-01    5.06e-01      1.10e-02    1.52e-02      7.19e-02    4.38e-02    1.3e-04
 203000      8.20e-01    8.96e-01      2.40e-04    6.78e-03      7.21e-02    7.87e-02    1.3e-04
 204000      6.33e-01    6.24e-01      4.46e-03    8.85e-03      5.56e-02    5.47e-02    1.3e-04
 205000      8.80e-01    7.88e-01      2.52e-02    1.29e-02      7.65e-02    6.90e-02    1.3e-04
 206000      8.77e-01    6.67e-01      1.39e-02    1.59e-02      7.88e-02    5.97e-02    1.2e-04
 207000      7.19e-01    5.32e-01      1.16e-02    5.46e-02      6.47e-02    4.35e-02    1.2e-04
 208000      7.89e-01    7.46e-01      3.66e-03    3.07e-03      7.11e-02    6.73e-02    1.2e-04
 209000      7.06e-01    7.64e-01      9.94e-03    2.54e-02      6.35e-02    6.78e-02    1.2e-04
 210000      7.42e-01    6.51e-01      2.48e-02    9.32e-03      6.60e-02    5.86e-02    1.2e-04
 211000      8.33e-01    8.75e-01      1.01e-02    1.16e-02      7.69e-02    8.08e-02    1.2e-04
 212000      4.71e-01    5.89e-01      1.69e-02    1.18e-02      4.28e-02    5.42e-02    1.2e-04
 213000      6.67e-01    8.67e-01      1.01e-02    1.36e-02      6.15e-02    8.00e-02    1.2e-04
 214000      1.08e+00    6.12e-01      1.34e-02    2.55e-03      9.97e-02    5.65e-02    1.2e-04
 215000      6.15e-01    7.55e-01      1.20e-02    1.40e-02      5.66e-02    6.95e-02    1.2e-04
 216000      5.28e-01    8.77e-01      4.75e-02    1.61e-02      4.65e-02    8.29e-02    1.1e-04
 217000      8.07e-01    7.92e-01      1.07e-01    1.44e-02      5.90e-02    7.48e-02    1.1e-04
 218000      8.14e-01    5.58e-01      1.02e-02    7.83e-03      7.71e-02    5.28e-02    1.1e-04
 219000      8.58e-01    6.95e-01      2.57e-02    5.53e-03      8.05e-02    6.59e-02    1.1e-04
 220000      5.37e-01    6.14e-01      2.24e-02    2.12e-02      4.96e-02    5.76e-02    1.1e-04
 221000      6.08e-01    6.62e-01      4.35e-03    6.92e-04      5.91e-02    6.44e-02    1.0e-04
 222000      6.37e-01    6.50e-01      2.60e-03    4.21e-03      6.20e-02    6.32e-02    1.0e-04
